"","pclass","sex","age","age_group","sibsp","parch","familysize","fare","embarked","survived"
"103","3rd_class","Male",30,"Adult",0,0,0,7.75,"Queenstown","No"
"104","3rd_class","Male",26,"Adult",0,0,0,7.78,"Southampton","No"
"105","3rd_class","Female",16,"Teenage",1,1,2,8.52,"Cherbourg","Yes"
"106","3rd_class","Male",28,"Adult",0,0,0,22.52,"Southampton","No"
"107","3rd_class","Male",21,"Adult",0,0,0,7.82,"Queenstown","No"
"108","3rd_class","Male",30,"Adult",0,0,0,7.75,"Queenstown","No"
"109","3rd_class","Male",28,"Adult",0,0,0,8.71,"Southampton","No"
"110","2nd_class","Male",18,"Teenage",0,0,0,13,"Southampton","No"
"111","2nd_class","Male",41,"Adult",0,0,0,15.05,"Cherbourg","No"
"112","3rd_class","Female",24,"Adult",0,0,0,7.78,"Queenstown","Yes"
"113","1st_class","Female",36,"Adult",0,0,0,31.68,"Cherbourg","Yes"
"114","3rd_class","Female",18,"Teenage",0,0,0,7.28,"Queenstown","Yes"
"115","1st_class","Female",63,"Adult",1,0,1,221.78,"Southampton","Yes"
"116","3rd_class","Male",18,"Teenage",1,0,1,14.45,"Cherbourg","No"
"117","3rd_class","Male",32,"Adult",0,0,0,6.44,"Cherbourg","No"
"118","3rd_class","Female",1,"Kid",1,1,2,16.7,"Southampton","Yes"
"119","1st_class","Male",36,"Adult",0,0,0,75.24,"Cherbourg","No"
"120","2nd_class","Female",29,"Adult",1,0,1,26,"Southampton","Yes"
"121","2nd_class","Female",12,"Kid",0,0,0,15.75,"Southampton","Yes"
"122","3rd_class","Male",30,"Adult",1,0,1,7.75,"Queenstown","No"
"123","1st_class","Female",35,"Adult",1,0,1,57.75,"Cherbourg","Yes"
"124","3rd_class","Male",28,"Adult",0,0,0,7.25,"Southampton","No"
"125","3rd_class","Male",30,"Adult",0,0,0,7.75,"Queenstown","No"
"126","3rd_class","Female",17,"Teenage",0,1,1,16.1,"Southampton","Yes"
"127","3rd_class","Male",22,"Adult",0,0,0,7.8,"Southampton","No"
"128","3rd_class","Female",25,"Adult",2,0,2,23.25,"Queenstown","Yes"
"129","2nd_class","Male",42,"Adult",0,0,0,13,"Southampton","No"
"130","3rd_class","Male",24,"Adult",0,0,0,8.05,"Southampton","No"
"131","3rd_class","Male",32,"Adult",0,0,0,8.05,"Southampton","No"
"132","1st_class","Male",53,"Adult",0,0,0,28.5,"Cherbourg","No"
"133","3rd_class","Female",27,"Adult",0,4,4,25.47,"Southampton","No"
"134","3rd_class","Male",32,"Adult",1,0,1,6.44,"Cherbourg","No"
"135","3rd_class","Male",43,"Adult",0,0,0,7.9,"Southampton","No"
"136","3rd_class","Male",24,"Adult",0,0,0,7.85,"Southampton","No"
"137","3rd_class","Male",26,"Adult",0,0,0,7.22,"Cherbourg","No"
"138","2nd_class","Male",26,"Adult",0,0,0,13,"Southampton","No"
"139","3rd_class","Female",23,"Adult",0,0,0,8.05,"Southampton","No"
"140","3rd_class","Male",40,"Adult",1,6,7,46.9,"Southampton","No"
"141","3rd_class","Female",10,"Kid",5,2,7,46.9,"Southampton","No"
"142","1st_class","Female",33,"Adult",0,0,0,151.55,"Southampton","Yes"
"143","1st_class","Male",61,"Adult",1,3,4,262.38,"Cherbourg","Yes"
"144","2nd_class","Male",28,"Adult",0,0,0,26,"Southampton","No"
"145","1st_class","Male",42,"Adult",0,0,0,26.55,"Southampton","Yes"
"146","3rd_class","Male",31,"Adult",3,0,3,18,"Southampton","No"
"147","1st_class","Male",40,"Adult",0,0,0,51.86,"Southampton","No"
"148","3rd_class","Male",22,"Adult",0,0,0,8.05,"Southampton","No"
"149","1st_class","Male",48,"Adult",0,0,0,26.55,"Southampton","No"
"150","2nd_class","Male",30,"Adult",1,1,2,26,"Southampton","No"
"151","1st_class","Female",23,"Adult",0,1,1,83.16,"Cherbourg","Yes"
"152","3rd_class","Male",28,"Adult",0,0,0,7.9,"Cherbourg","No"
"153","3rd_class","Male",60,"Adult",0,0,0,14.45,"Southampton","No"
"154","3rd_class","Female",36,"Adult",0,2,2,12.18,"Southampton","Yes"
"155","3rd_class","Male",13,"Teenage",4,2,6,31.39,"Southampton","No"
"156","3rd_class","Male",24,"Adult",0,0,0,7.55,"Southampton","No"
"157","1st_class","Female",29,"Adult",0,0,0,221.78,"Southampton","Yes"
"158","3rd_class","Female",23,"Adult",0,0,0,7.85,"Southampton","No"
"159","1st_class","Male",42,"Adult",0,0,0,26.55,"Southampton","Yes"
"160","3rd_class","Female",26,"Adult",0,2,2,13.78,"Southampton","No"
"161","3rd_class","Female",23,"Adult",0,0,0,7.73,"Queenstown","Yes"
"162","3rd_class","Male",7,"Kid",1,1,2,15.25,"Cherbourg","Yes"
"163","2nd_class","Female",26,"Adult",0,0,0,13.5,"Southampton","Yes"
"164","3rd_class","Male",30,"Adult",0,0,0,7,"Southampton","No"
"165","2nd_class","Male",41,"Adult",0,0,0,13,"Southampton","No"
"166","3rd_class","Female",26,"Adult",1,1,2,22.02,"Southampton","No"
"167","1st_class","Male",48,"Adult",0,0,0,50.5,"Cherbourg","No"
"168","3rd_class","Male",18,"Teenage",2,2,4,34.38,"Southampton","No"
"169","1st_class","Female",43,"Adult",0,0,0,27.72,"Cherbourg","Yes"
"170","3rd_class","Female",22,"Adult",0,0,0,8.96,"Southampton","Yes"
"171","3rd_class","Male",30,"Adult",0,0,0,7.55,"Southampton","No"
"172","3rd_class","Male",27,"Adult",0,0,0,7.22,"Cherbourg","No"
"173","3rd_class","Male",23,"Adult",1,0,1,13.9,"Southampton","No"
"174","3rd_class","Male",30,"Adult",0,0,0,7.23,"Cherbourg","No"
"175","3rd_class","Male",40,"Adult",1,5,6,31.39,"Southampton","No"
"176","2nd_class","Female",15,"Teenage",0,2,2,39,"Southampton","Yes"
"177","2nd_class","Female",20,"Adult",0,0,0,36.75,"Southampton","Yes"
"178","1st_class","Male",54,"Adult",1,0,1,55.44,"Cherbourg","No"
"179","2nd_class","Female",36,"Adult",0,3,3,39,"Southampton","Yes"
"180","1st_class","Female",64,"Adult",0,2,2,83.16,"Cherbourg","Yes"
"181","2nd_class","Male",30,"Adult",0,0,0,13,"Southampton","No"
"182","1st_class","Male",37,"Adult",1,1,2,83.16,"Cherbourg","Yes"
"183","1st_class","Female",18,"Teenage",1,0,1,53.1,"Southampton","Yes"
"184","3rd_class","Male",30,"Adult",0,0,0,7.75,"Queenstown","No"
"185","1st_class","Female",27,"Adult",1,1,2,247.52,"Cherbourg","Yes"
"186","2nd_class","Male",40,"Adult",0,0,0,16,"Southampton","No"
"187","2nd_class","Female",21,"Adult",0,1,1,21,"Southampton","Yes"
"188","3rd_class","Male",17,"Teenage",2,0,2,8.05,"Southampton","No"
"189","3rd_class","Female",8,"Kid",8,2,10,69.55,"Southampton","No"
"190","2nd_class","Male",40,"Adult",0,0,0,13,"Southampton","No"
"191","2nd_class","Male",34,"Adult",1,0,1,26,"Southampton","No"
"192","1st_class","Male",48,"Adult",0,0,0,26,"Southampton","No"
"193","3rd_class","Male",12,"Kid",1,1,2,14.5,"Southampton","Yes"
"194","2nd_class","Male",61,"Adult",0,0,0,12.35,"Queenstown","No"
"195","2nd_class","Male",8,"Kid",0,2,2,32.5,"Southampton","Yes"
"196","3rd_class","Male",33,"Adult",0,0,0,7.85,"Southampton","No"
"197","1st_class","Male",6,"Kid",0,2,2,134.5,"Cherbourg","Yes"
"198","3rd_class","Female",18,"Teenage",0,0,0,7.78,"Southampton","Yes"
"199","2nd_class","Male",23,"Adult",0,0,0,10.5,"Southampton","No"
"200","3rd_class","Female",29,"Adult",0,0,0,8.11,"Southampton","No"
"201","3rd_class","Female",24,"Adult",0,0,0,15.5,"Queenstown","Yes"
"202","3rd_class","Male",0,"Kid",0,2,2,14.4,"Southampton","Yes"
"203","1st_class","Male",47,"Adult",1,0,1,227.52,"Cherbourg","No"
"204","2nd_class","Female",8,"Kid",1,1,2,26,"Southampton","Yes"
"205","2nd_class","Male",25,"Adult",0,0,0,10.5,"Southampton","No"
"206","1st_class","Male",45,"Adult",0,0,0,25.74,"Cherbourg","No"
"207","3rd_class","Female",35,"Adult",0,0,0,7.75,"Queenstown","No"
"208","2nd_class","Male",24,"Adult",0,0,0,10.5,"Southampton","No"
"209","1st_class","Female",33,"Adult",0,0,0,27.72,"Cherbourg","Yes"
"210","3rd_class","Male",25,"Adult",0,0,0,7.9,"Southampton","No"
"211","3rd_class","Male",32,"Adult",0,0,0,22.52,"Southampton","No"
"212","3rd_class","Male",30,"Adult",0,0,0,7.05,"Southampton","No"
"213","2nd_class","Male",17,"Teenage",0,0,0,73.5,"Southampton","No"
"214","2nd_class","Female",60,"Adult",1,0,1,26,"Southampton","Yes"
"215","3rd_class","Female",38,"Adult",4,2,6,7.78,"Southampton","No"
"216","1st_class","Male",42,"Adult",0,0,0,42.5,"Southampton","No"
"217","3rd_class","Female",24,"Adult",0,0,0,7.88,"Queenstown","Yes"
"218","1st_class","Male",57,"Adult",1,1,2,164.87,"Southampton","Yes"
"219","1st_class","Female",50,"Adult",1,1,2,211.5,"Cherbourg","Yes"
"220","3rd_class","Male",28,"Adult",0,0,0,8.05,"Southampton","No"
"221","2nd_class","Female",30,"Adult",1,0,1,13.86,"Cherbourg","Yes"
"222","3rd_class","Male",21,"Adult",0,0,0,8.05,"Southampton","No"
"223","2nd_class","Female",22,"Adult",0,0,0,10.5,"Southampton","Yes"
"224","3rd_class","Male",21,"Adult",0,0,0,7.8,"Southampton","No"
"225","1st_class","Female",53,"Adult",0,0,0,27.45,"Cherbourg","Yes"
"226","3rd_class","Female",20,"Adult",0,2,2,15.25,"Cherbourg","Yes"
"227","3rd_class","Male",23,"Adult",0,0,0,7.8,"Southampton","No"
"228","3rd_class","Female",23,"Adult",0,0,0,7.75,"Queenstown","Yes"
"229","3rd_class","Male",40,"Adult",0,0,0,15.1,"Southampton","No"
"230","2nd_class","Male",36,"Adult",0,0,0,13,"Southampton","No"
"231","2nd_class","Male",14,"Teenage",0,0,0,65,"Southampton","No"
"232","1st_class","Female",21,"Adult",0,0,0,26.55,"Southampton","Yes"
"233","3rd_class","Male",21,"Adult",1,0,1,6.5,"Southampton","No"
"234","3rd_class","Male",28,"Adult",0,0,0,7.88,"Queenstown","No"
"235","1st_class","Male",39,"Adult",1,0,1,71.28,"Cherbourg","Yes"
"236","3rd_class","Male",20,"Adult",0,0,0,7.85,"Southampton","No"
"237","1st_class","Male",64,"Adult",1,0,1,75.25,"Cherbourg","Yes"
"238","3rd_class","Male",20,"Adult",0,0,0,7.22,"Cherbourg","No"
"239","2nd_class","Female",18,"Teenage",1,1,2,13,"Southampton","Yes"
"240","1st_class","Female",48,"Adult",1,0,1,106.42,"Cherbourg","Yes"
"241","1st_class","Female",55,"Adult",0,0,0,27.72,"Cherbourg","Yes"
"242","2nd_class","Female",45,"Adult",0,2,2,30,"Southampton","Yes"
"243","1st_class","Male",45,"Adult",1,1,2,134.5,"Cherbourg","Yes"
"244","3rd_class","Male",28,"Adult",0,0,0,7.89,"Southampton","No"
"245","3rd_class","Male",28,"Adult",1,2,3,23.45,"Southampton","No"
"246","1st_class","Male",41,"Adult",1,0,1,51.86,"Southampton","No"
"247","2nd_class","Female",22,"Adult",0,0,0,21,"Southampton","Yes"
"248","2nd_class","Male",42,"Adult",1,1,2,32.5,"Southampton","No"
"249","2nd_class","Female",29,"Adult",1,0,1,26,"Southampton","Yes"
"250","3rd_class","Female",22,"Adult",1,0,1,14.45,"Cherbourg","No"
"251","2nd_class","Female",1,"Kid",1,2,3,27.75,"Southampton","Yes"
"252","3rd_class","Male",20,"Adult",0,0,0,7.92,"Southampton","No"
"253","1st_class","Male",27,"Adult",1,0,1,136.78,"Cherbourg","Yes"
"254","3rd_class","Male",24,"Adult",0,0,0,9.32,"Southampton","No"
"255","3rd_class","Male",32,"Adult",0,0,0,9.5,"Southampton","No"
"256","3rd_class","Male",30,"Adult",0,0,0,7.55,"Southampton","No"
"257","3rd_class","Male",30,"Adult",0,0,0,7.75,"Queenstown","No"
"258","3rd_class","Male",28,"Adult",0,0,0,8.05,"Southampton","No"
"259","2nd_class","Female",19,"Teenage",0,0,0,13,"Southampton","Yes"
"260","3rd_class","Male",21,"Adult",0,0,0,7.78,"Southampton","No"
"261","3rd_class","Male",36,"Adult",1,0,1,17.4,"Southampton","No"
"262","3rd_class","Male",21,"Adult",0,0,0,7.85,"Southampton","No"
"263","2nd_class","Female",29,"Adult",0,2,2,23,"Southampton","Yes"
"264","3rd_class","Female",1,"Kid",1,1,2,12.18,"Southampton","Yes"
"265","2nd_class","Male",30,"Adult",0,0,0,12.74,"Cherbourg","No"
"266","3rd_class","Male",28,"Adult",0,0,0,7.9,"Southampton","No"
"267","1st_class","Male",46,"Adult",0,0,0,0,"Southampton","No"
"268","3rd_class","Male",30,"Adult",0,0,0,7.55,"Southampton","No"
"269","3rd_class","Female",29,"Adult",0,0,0,8.05,"Southampton","No"
"270","3rd_class","Male",17,"Teenage",0,0,0,8.66,"Southampton","No"
"271","1st_class","Male",46,"Adult",0,0,0,75.24,"Cherbourg","No"
"272","3rd_class","Male",30,"Adult",0,0,0,7.75,"Queenstown","No"
"273","1st_class","Female",26,"Adult",1,0,1,136.78,"Cherbourg","Yes"
"274","3rd_class","Female",24,"Adult",1,0,1,15.5,"Queenstown","Yes"
"275","3rd_class","Male",30,"Adult",0,0,0,7.22,"Cherbourg","No"
"276","2nd_class","Female",20,"Adult",1,0,1,26,"Southampton","Yes"
"277","2nd_class","Male",28,"Adult",0,0,0,10.5,"Southampton","No"
"278","2nd_class","Male",40,"Adult",1,0,1,26,"Southampton","No"
"279","2nd_class","Male",30,"Adult",1,0,1,21,"Southampton","No"
"280","2nd_class","Male",22,"Adult",0,0,0,10.5,"Southampton","No"
"281","3rd_class","Female",23,"Adult",0,0,0,8.66,"Southampton","No"
"282","3rd_class","Male",1,"Kid",1,1,2,13.78,"Southampton","Yes"
"283","3rd_class","Female",23,"Adult",0,0,0,7.75,"Queenstown","Yes"
"284","3rd_class","Female",9,"Kid",1,1,2,15.25,"Cherbourg","Yes"
"285","3rd_class","Female",2,"Kid",1,1,2,20.21,"Southampton","Yes"
"286","3rd_class","Male",36,"Adult",0,0,0,7.25,"Southampton","No"
"287","3rd_class","Male",30,"Adult",0,0,0,7.25,"Southampton","No"
"288","1st_class","Male",24,"Adult",1,0,1,82.27,"Southampton","No"
"289","3rd_class","Male",30,"Adult",0,0,0,7.23,"Cherbourg","No"
"290","3rd_class","Male",28,"Adult",0,0,0,8.05,"Southampton","No"
"291","1st_class","Male",42,"Adult",0,0,0,39.6,"Southampton","Yes"
"292","3rd_class","Female",30,"Adult",0,0,0,6.95,"Queenstown","Yes"
"293","3rd_class","Male",30,"Adult",0,0,0,7.23,"Cherbourg","No"
"294","1st_class","Male",53,"Adult",1,1,2,81.86,"Southampton","No"
"295","3rd_class","Male",36,"Adult",0,0,0,9.5,"Southampton","No"
"296","3rd_class","Male",26,"Adult",0,0,0,7.9,"Southampton","No"
"297","2nd_class","Female",1,"Kid",1,2,3,41.58,"Cherbourg","Yes"
"298","3rd_class","Male",28,"Adult",2,0,2,21.68,"Cherbourg","No"
"299","1st_class","Male",30,"Adult",0,0,0,45.5,"Southampton","Yes"
"300","3rd_class","Male",29,"Adult",0,0,0,7.85,"Southampton","No"
"301","3rd_class","Male",32,"Adult",0,0,0,7.78,"Southampton","No"
"302","2nd_class","Male",33,"Adult",0,0,0,15.05,"Cherbourg","No"
"303","2nd_class","Male",43,"Adult",0,1,1,21,"Southampton","No"
"304","3rd_class","Male",24,"Adult",0,0,0,8.66,"Southampton","No"
"305","3rd_class","Female",23,"Adult",0,0,0,7.75,"Queenstown","Yes"
"306","1st_class","Female",64,"Adult",1,1,2,26.55,"Southampton","Yes"
"307","1st_class","Male",30,"Adult",1,2,3,151.55,"Southampton","Yes"
"308","3rd_class","Male",1,"Kid",0,1,1,9.35,"Southampton","Yes"
"309","1st_class","Male",55,"Adult",1,1,2,93.5,"Southampton","No"
"310","3rd_class","Female",45,"Adult",1,0,1,14.11,"Southampton","No"
"311","3rd_class","Male",18,"Teenage",0,0,0,8.66,"Southampton","No"
"312","3rd_class","Male",22,"Adult",0,0,0,7.22,"Cherbourg","No"
"313","3rd_class","Male",30,"Adult",0,0,0,7.58,"Southampton","No"
"314","3rd_class","Female",37,"Adult",0,0,0,7.75,"Queenstown","Yes"
"315","1st_class","Female",55,"Adult",0,0,0,135.63,"Cherbourg","Yes"
"316","3rd_class","Female",17,"Teenage",0,0,0,7.73,"Queenstown","Yes"
"317","1st_class","Male",57,"Adult",1,0,1,146.52,"Cherbourg","Yes"
"318","2nd_class","Male",19,"Teenage",0,0,0,10.5,"Southampton","No"
"319","3rd_class","Male",27,"Adult",0,0,0,7.85,"Southampton","No"
"320","2nd_class","Male",22,"Adult",2,0,2,31.5,"Southampton","No"
"321","3rd_class","Male",26,"Adult",0,0,0,7.78,"Southampton","No"
"322","3rd_class","Male",25,"Adult",0,0,0,7.23,"Cherbourg","No"
"323","2nd_class","Male",26,"Adult",0,0,0,13,"Southampton","No"
"324","1st_class","Male",33,"Adult",0,0,0,26.55,"Southampton","Yes"
"325","1st_class","Female",39,"Adult",0,0,0,211.34,"Southampton","Yes"
"326","3rd_class","Male",23,"Adult",0,0,0,7.05,"Southampton","No"
"327","2nd_class","Female",12,"Kid",2,1,3,39,"Southampton","Yes"
"328","1st_class","Male",46,"Adult",0,0,0,79.2,"Cherbourg","No"
"329","2nd_class","Male",29,"Adult",1,0,1,26,"Southampton","No"
"330","2nd_class","Male",21,"Adult",0,0,0,13,"Southampton","No"
"331","2nd_class","Female",48,"Adult",0,2,2,36.75,"Southampton","Yes"
"332","1st_class","Male",39,"Adult",0,0,0,29.7,"Cherbourg","No"
"333","3rd_class","Male",30,"Adult",0,0,0,7.22,"Cherbourg","No"
"334","3rd_class","Female",19,"Teenage",1,1,2,15.74,"Cherbourg","Yes"
"335","3rd_class","Male",27,"Adult",0,0,0,7.9,"Southampton","No"
"336","1st_class","Male",30,"Adult",0,0,0,26,"Southampton","Yes"
"337","2nd_class","Male",32,"Adult",0,0,0,13,"Southampton","No"
"338","3rd_class","Male",39,"Adult",0,2,2,7.23,"Cherbourg","No"
"339","2nd_class","Male",25,"Adult",0,0,0,31.5,"Southampton","No"
"340","3rd_class","Male",30,"Adult",0,0,0,7.23,"Cherbourg","No"
"341","2nd_class","Male",18,"Teenage",0,0,0,10.5,"Southampton","No"
"342","3rd_class","Male",32,"Adult",0,0,0,7.58,"Southampton","No"
"343","3rd_class","Male",34,"Adult",1,9,10,69.55,"Southampton","No"
"344","1st_class","Female",58,"Adult",0,1,1,512.33,"Cherbourg","Yes"
"345","3rd_class","Male",25,"Adult",1,1,2,14.5,"Southampton","No"
"346","3rd_class","Female",16,"Teenage",0,0,0,7.65,"Southampton","Yes"
"347","2nd_class","Male",26,"Adult",0,0,0,13,"Southampton","No"
"348","3rd_class","Female",38,"Adult",0,0,0,7.23,"Cherbourg","No"
"349","2nd_class","Male",24,"Adult",0,0,0,13.5,"Southampton","No"
"350","2nd_class","Female",31,"Adult",0,0,0,21,"Southampton","Yes"
"351","1st_class","Female",45,"Adult",0,1,1,63.36,"Cherbourg","Yes"
"352","2nd_class","Male",25,"Adult",0,0,0,10.5,"Southampton","No"
"353","2nd_class","Male",18,"Teenage",0,0,0,73.5,"Southampton","No"
"354","2nd_class","Male",49,"Adult",1,2,3,65,"Southampton","No"
"355","3rd_class","Female",0,"Kid",1,2,3,20.58,"Southampton","Yes"
"356","1st_class","Male",50,"Adult",0,0,0,26,"Southampton","No"
"357","1st_class","Female",59,"Adult",2,0,2,51.48,"Southampton","Yes"
"358","3rd_class","Male",28,"Adult",0,0,0,7.88,"Southampton","No"
